Cod.Programa,Nombre Programa,Asignatura,Nombre Asignatura,Cod.Asig. Prerreq.,Nombre Asignatura Prerreq.
MA02,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310011.0,FUNDAMENTOS DE SISTEMAS DIGITALES,11310002.0,PROGRAMACION DE COMPUTADORES
MA01,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310011.0,FUNDAMENTOS DE SISTEMAS DIGITALES,11310002.0,PROGRAMACION DE COMPUTADORES
IIN1,INGENIERIA INDUSTRIAL,11310012.0,OPTIMIZACION,11310004.0,CALCULO 2
MA03,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310012.0,OPTIMIZACION,11310004.0,CALCULO 2
ISE1,INGENIERIA DE SISTEMAS ENERGETICOS ,11310012.0,OPTIMIZACION,11310004.0,CALCULO 2
MA01,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310012.0,OPTIMIZACION,11310004.0,CALCULO 2
MA02,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310012.0,OPTIMIZACION,11310004.0,CALCULO 2
IET1,INGENIERIA ELECTRONICA,11310012.0,OPTIMIZACION,11310004.0,CALCULO 2
MA01,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310012.0,OPTIMIZACION,11310005.0,ALGEBRA LINEAL
MA03,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310012.0,OPTIMIZACION,11310030.0,ALGEBRA LINEAL
ISE1,INGENIERIA DE SISTEMAS ENERGETICOS ,11310012.0,OPTIMIZACION,11310030.0,ALGEBRA LINEAL
MA02,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310012.0,OPTIMIZACION,11310030.0,ALGEBRA LINEAL
IET1,INGENIERIA ELECTRONICA,11310012.0,OPTIMIZACION,11310030.0,ALGEBRA LINEAL
IIN1,INGENIERIA INDUSTRIAL,11310012.0,OPTIMIZACION,11310030.0,ALGEBRA LINEAL
MA03,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310013.0,ANALISIS ESTADISTICO DE DATOS,11310017.0,INGENIERIA DE DATOS
IIN1,INGENIERIA INDUSTRIAL,11310013.0,ANALISIS ESTADISTICO DE DATOS,11310033.0,PROBABILIDAD Y ESTADISTICA 2
MA02,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310013.0,ANALISIS ESTADISTICO DE DATOS,11310033.0,PROBABILIDAD Y ESTADISTICA 2
MA01,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310013.0,ANALISIS ESTADISTICO DE DATOS,11310033.0,PROBABILIDAD Y ESTADISTICA 2
MA01,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310013.0,ANALISIS ESTADISTICO DE DATOS,11310037.0,ESTADISTICA
MA03,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310013.0,ANALISIS ESTADISTICO DE DATOS,11320006.0,PROBABILIDAD Y ESTADISTICA 2
